"","Major","Gender","Admission"
"1","C","F","Rejected"
"2","B","M","Accepted"
"3","Other","F","Accepted"
"4","Other","M","Accepted"
"5","Other","M","Rejected"
"6","Other","M","Rejected"
"7","F","F","Accepted"
"8","Other","M","Accepted"
"9","Other","M","Rejected"
"10","A","M","Accepted"
"11","Other","F","Rejected"
"12","B","M","Accepted"
"13","C","M","Rejected"
"14","A","M","Rejected"
"15","Other","M","Rejected"
"16","Other","F","Rejected"
"17","A","M","Accepted"
"18","Other","F","Accepted"
"19","Other","M","Rejected"
"20","F","M","Rejected"
"21","Other","M","Rejected"
"22","C","M","Accepted"
"23","C","F","Rejected"
"24","Other","M","Rejected"
"25","Other","F","Rejected"
"26","Other","M","Rejected"
"27","Other","M","Rejected"
"28","Other","M","Rejected"
"29","C","M","Rejected"
"30","Other","M","Rejected"
"31","Other","M","Accepted"
"32","F","F","Rejected"
"33","F","M","Rejected"
"34","D","M","Rejected"
"35","Other","M","Rejected"
"36","Other","F","Rejected"
"37","Other","F","Rejected"
"38","C","F","Accepted"
"39","Other","M","Rejected"
"40","Other","M","Accepted"
"41","A","M","Rejected"
"42","Other","M","Accepted"
"43","A","M","Accepted"
"44","A","M","Rejected"
"45","Other","M","Rejected"
"46","Other","M","Accepted"
"47","Other","M","Accepted"
"48","F","M","Rejected"
"49","Other","M","Rejected"
"50","Other","M","Rejected"
"51","Other","F","Rejected"
"52","Other","M","Accepted"
"53","Other","M","Rejected"
"54","Other","M","Rejected"
"55","Other","M","Accepted"
"56","A","M","Rejected"
"57","Other","M","Rejected"
"58","Other","M","Accepted"
"59","C","F","Accepted"
"60","Other","F","Rejected"
"61","Other","M","Rejected"
"62","Other","M","Accepted"
"63","C","F","Rejected"
"64","Other","M","Rejected"
"65","Other","F","Rejected"
"66","Other","M","Accepted"
"67","E","M","Rejected"
"68","B","M","Rejected"
"69","A","M","Rejected"
"70","D","M","Accepted"
"71","C","F","Rejected"
"72","Other","M","Accepted"
"73","C","F","Rejected"
"74","C","M","Rejected"
"75","F","F","Rejected"
"76","Other","M","Rejected"
"77","B","M","Accepted"
"78","D","F","Rejected"
"79","Other","M","Accepted"
"80","Other","F","Rejected"
"81","Other","M","Rejected"
"82","Other","M","Accepted"
"83","Other","M","Accepted"
"84","D","F","Rejected"
"85","C","F","Accepted"
"86","C","F","Rejected"
"87","F","M","Rejected"
"88","Other","F","Rejected"
"89","Other","M","Accepted"
"90","Other","F","Rejected"
"91","Other","M","Accepted"
"92","C","M","Accepted"
"93","E","F","Accepted"
"94","F","F","Rejected"
"95","C","F","Accepted"
"96","Other","M","Rejected"
"97","Other","M","Rejected"
"98","D","M","Rejected"
"99","Other","M","Rejected"
"100","Other","F","Rejected"
"101","A","M","Accepted"
"102","Other","M","Rejected"
"103","Other","F","Accepted"
"104","B","M","Accepted"
"105","Other","M","Rejected"
"106","D","F","Rejected"
"107","Other","M","Rejected"
"108","D","M","Rejected"
"109","B","M","Rejected"
"110","F","M","Rejected"
"111","C","F","Accepted"
"112","Other","M","Rejected"
"113","Other","F","Accepted"
"114","Other","F","Accepted"
"115","D","F","Rejected"
"116","Other","F","Rejected"
"117","C","F","Rejected"
"118","F","M","Rejected"
"119","Other","M","Accepted"
"120","B","M","Rejected"
"121","Other","M","Accepted"
"122","Other","M","Rejected"
"123","A","M","Accepted"
"124","Other","M","Rejected"
"125","D","F","Rejected"
"126","D","F","Accepted"
"127","E","M","Accepted"
"128","D","M","Rejected"
"129","Other","M","Accepted"
"130","Other","M","Accepted"
"131","Other","M","Accepted"
"132","Other","F","Rejected"
"133","C","F","Rejected"
"134","B","M","Rejected"
"135","Other","F","Rejected"
"136","A","M","Rejected"
"137","Other","F","Accepted"
"138","F","M","Rejected"
"139","E","F","Accepted"
"140","E","F","Rejected"
"141","A","M","Accepted"
"142","Other","M","Accepted"
"143","F","M","Accepted"
"144","C","M","Accepted"
"145","A","M","Accepted"
"146","Other","M","Rejected"
"147","Other","M","Rejected"
"148","Other","M","Accepted"
"149","Other","M","Rejected"
"150","A","M","Accepted"
"151","E","M","Rejected"
"152","E","F","Rejected"
"153","B","M","Accepted"
"154","C","F","Accepted"
"155","Other","F","Accepted"
"156","A","F","Accepted"
"157","E","F","Rejected"
"158","A","M","Accepted"
"159","Other","M","Rejected"
"160","D","M","Rejected"
"161","Other","F","Rejected"
"162","D","M","Rejected"
"163","B","M","Rejected"
"164","Other","M","Accepted"
"165","A","M","Rejected"
"166","A","M","Accepted"
"167","B","M","Accepted"
"168","Other","F","Rejected"
"169","Other","M","Rejected"
"170","Other","F","Rejected"
"171","Other","F","Rejected"
"172","Other","F","Rejected"
"173","Other","F","Rejected"
"174","Other","F","Rejected"
"175","Other","M","Rejected"
"176","Other","M","Rejected"
"177","Other","F","Rejected"
"178","Other","M","Accepted"
"179","A","M","Accepted"
"180","Other","M","Rejected"
"181","Other","M","Accepted"
"182","A","M","Rejected"
"183","C","M","Rejected"
"184","Other","M","Rejected"
"185","B","M","Rejected"
"186","Other","M","Rejected"
"187","Other","M","Accepted"
"188","Other","F","Rejected"
"189","Other","M","Rejected"
"190","Other","F","Rejected"
"191","E","F","Accepted"
"192","Other","F","Rejected"
"193","F","F","Rejected"
"194","Other","F","Rejected"
"195","C","F","Rejected"
"196","Other","F","Accepted"
"197","Other","M","Accepted"
"198","A","M","Accepted"
"199","Other","M","Accepted"
"200","C","F","Rejected"
"201","Other","F","Rejected"
"202","A","M","Rejected"
"203","Other","F","Rejected"
"204","F","M","Rejected"
"205","A","M","Accepted"
"206","Other","F","Rejected"
"207","Other","F","Rejected"
"208","C","F","Rejected"
"209","A","M","Accepted"
"210","Other","M","Accepted"
"211","A","M","Accepted"
"212","Other","M","Rejected"
"213","Other","F","Rejected"
"214","A","M","Accepted"
"215","C","F","Accepted"
"216","Other","F","Rejected"
"217","Other","M","Accepted"
"218","Other","F","Rejected"
"219","F","M","Rejected"
"220","A","M","Rejected"
"221","E","F","Rejected"
"222","Other","M","Accepted"
"223","Other","M","Accepted"
"224","Other","F","Accepted"
"225","Other","M","Rejected"
"226","Other","M","Rejected"
"227","Other","M","Rejected"
"228","Other","M","Accepted"
"229","Other","F","Accepted"
"230","Other","F","Rejected"
"231","Other","M","Rejected"
"232","Other","F","Rejected"
"233","Other","F","Rejected"
"234","E","F","Accepted"
"235","Other","M","Accepted"
"236","F","M","Rejected"
"237","D","F","Rejected"
"238","D","F","Rejected"
"239","Other","F","Accepted"
"240","F","M","Rejected"
"241","Other","F","Accepted"
"242","Other","F","Rejected"
"243","B","M","Accepted"
"244","Other","F","Rejected"
"245","D","F","Accepted"
"246","A","M","Accepted"
"247","Other","F","Accepted"
"248","Other","M","Rejected"
"249","Other","M","Rejected"
"250","Other","F","Accepted"
"251","Other","M","Rejected"
"252","F","F","Rejected"
"253","Other","F","Rejected"
"254","Other","M","Accepted"
"255","Other","M","Accepted"
"256","Other","F","Rejected"
"257","Other","F","Rejected"
"258","Other","M","Accepted"
"259","Other","M","Rejected"
"260","Other","F","Rejected"
"261","Other","F","Accepted"
"262","A","M","Accepted"
"263","F","F","Rejected"
"264","Other","M","Accepted"
"265","Other","M","Rejected"
"266","Other","F","Accepted"
"267","A","M","Accepted"
"268","Other","F","Accepted"
"269","B","M","Accepted"
"270","Other","F","Accepted"
"271","E","F","Rejected"
"272","Other","M","Rejected"
"273","Other","F","Rejected"
"274","F","M","Rejected"
"275","D","F","Rejected"
"276","Other","M","Accepted"
"277","B","M","Accepted"
"278","A","F","Accepted"
"279","Other","M","Rejected"
"280","Other","M","Accepted"
"281","Other","M","Rejected"
"282","Other","M","Rejected"
"283","F","F","Rejected"
"284","Other","M","Rejected"
"285","Other","M","Accepted"
"286","Other","M","Rejected"
"287","B","M","Accepted"
"288","Other","F","Accepted"
"289","Other","M","Accepted"
"290","Other","F","Rejected"
"291","F","M","Rejected"
"292","Other","F","Rejected"
"293","Other","M","Rejected"
"294","F","M","Rejected"
"295","A","M","Rejected"
"296","Other","F","Accepted"
"297","Other","F","Rejected"
"298","Other","F","Rejected"
"299","Other","M","Rejected"
"300","Other","M","Rejected"
"301","Other","F","Accepted"
"302","Other","F","Accepted"
"303","C","M","Rejected"
"304","Other","F","Accepted"
"305","Other","M","Accepted"
"306","Other","F","Rejected"
"307","Other","M","Accepted"
"308","Other","M","Rejected"
"309","Other","F","Rejected"
"310","Other","M","Accepted"
"311","Other","F","Rejected"
"312","Other","M","Accepted"
"313","Other","M","Rejected"
"314","Other","M","Accepted"
"315","A","M","Rejected"
"316","Other","M","Rejected"
"317","C","F","Accepted"
"318","A","M","Accepted"
"319","F","M","Rejected"
"320","B","M","Accepted"
"321","Other","M","Rejected"
"322","B","M","Accepted"
"323","A","M","Rejected"
"324","Other","M","Rejected"
"325","Other","M","Rejected"
"326","Other","M","Rejected"
"327","Other","M","Accepted"
"328","Other","M","Rejected"
"329","Other","M","Accepted"
"330","Other","M","Accepted"
"331","Other","M","Accepted"
"332","Other","M","Rejected"
"333","Other","M","Rejected"
"334","Other","M","Rejected"
"335","Other","M","Rejected"
"336","E","F","Rejected"
"337","Other","M","Accepted"
"338","Other","F","Accepted"
"339","Other","M","Accepted"
"340","Other","F","Accepted"
"341","C","F","Rejected"
"342","Other","M","Rejected"
"343","Other","M","Rejected"
"344","B","M","Accepted"
"345","A","M","Rejected"
"346","F","M","Rejected"
"347","C","F","Rejected"
"348","A","M","Accepted"
"349","Other","M","Rejected"
"350","Other","F","Rejected"
"351","Other","M","Accepted"
"352","C","F","Rejected"
"353","Other","M","Rejected"
"354","E","F","Accepted"
"355","Other","M","Rejected"
"356","Other","M","Rejected"
"357","Other","F","Rejected"
"358","Other","M","Rejected"
"359","Other","M","Rejected"
"360","Other","M","Accepted"
"361","Other","F","Accepted"
"362","Other","F","Rejected"
"363","Other","M","Accepted"
"364","A","M","Accepted"
"365","C","F","Rejected"
"366","D","M","Rejected"
"367","Other","F","Accepted"
"368","F","M","Rejected"
"369","D","F","Accepted"
"370","A","F","Accepted"
"371","F","F","Rejected"
"372","Other","M","Rejected"
"373","Other","M","Rejected"
"374","A","M","Rejected"
"375","C","F","Rejected"
"376","Other","M","Accepted"
"377","Other","M","Rejected"
"378","Other","M","Rejected"
"379","A","M","Accepted"
"380","Other","M","Rejected"
"381","Other","M","Accepted"
"382","Other","F","Rejected"
"383","B","M","Rejected"
"384","Other","F","Rejected"
"385","Other","M","Rejected"
"386","Other","M","Accepted"
"387","Other","F","Rejected"
"388","E","M","Rejected"
"389","C","F","Rejected"
"390","Other","M","Accepted"
"391","Other","M","Rejected"
"392","D","F","Rejected"
"393","Other","F","Accepted"
"394","F","F","Accepted"
"395","Other","M","Rejected"
"396","Other","F","Rejected"
"397","A","M","Accepted"
"398","Other","F","Rejected"
"399","Other","M","Rejected"
"400","Other","M","Accepted"
"401","Other","F","Rejected"
"402","A","M","Accepted"
"403","E","F","Accepted"
"404","Other","F","Accepted"
"405","D","F","Rejected"
"406","Other","M","Rejected"
"407","B","M","Rejected"
"408","Other","F","Accepted"
"409","Other","M","Rejected"
"410","A","M","Rejected"
"411","Other","M","Accepted"
"412","E","F","Rejected"
"413","A","M","Accepted"
"414","Other","M","Rejected"
"415","Other","M","Accepted"
"416","Other","F","Accepted"
"417","D","M","Rejected"
"418","Other","M","Accepted"
"419","Other","F","Accepted"
